,"X,Y,Z,Sequence"
312,"-0.36758583784103394,5.753939151763916,7.841759204864502,312"
313,"-0.36758583784103394,5.753939151763916,7.841759204864502,313"
314,"-0.36758583784103394,5.753939151763916,7.841759204864502,314"
315,"-0.36758583784103394,5.753939151763916,7.841759204864502,315"
316,"-0.36758583784103394,5.753939151763916,7.841759204864502,316"
317,"-0.36758583784103394,5.753939151763916,7.841759204864502,317"
318,"-0.36758583784103394,5.753939151763916,7.841759204864502,318"
319,"-0.36758583784103394,5.753939151763916,7.841759204864502,319"
320,"-0.36758583784103394,5.753939151763916,7.841759204864502,320"
321,"-0.36758583784103394,5.753939151763916,7.841759204864502,321"
322,"-0.36758583784103394,5.753939151763916,7.841759204864502,322"
323,"-0.36758583784103394,5.753939151763916,7.841759204864502,323"
324,"-0.36758583784103394,5.753939151763916,7.841759204864502,324"
325,"-0.36758583784103394,5.753939151763916,7.841759204864502,325"
326,"-0.36758583784103394,5.753939151763916,7.841759204864502,326"
327,"-0.36758583784103394,5.753939151763916,7.841759204864502,327"
328,"-0.36758583784103394,5.753939151763916,7.841759204864502,328"
329,"-0.36758583784103394,5.753939151763916,7.841759204864502,329"
330,"-0.36758583784103394,5.753939151763916,7.841759204864502,330"
331,"-0.36758583784103394,5.753939151763916,7.841759204864502,331"
332,"-0.36758583784103394,5.753939151763916,7.841759204864502,332"
333,"-0.36758583784103394,5.753939151763916,7.841759204864502,333"
334,"-0.36758583784103394,5.753939151763916,7.841759204864502,334"
335,"-0.36758583784103394,5.753939151763916,7.841759204864502,335"
336,"-0.36758583784103394,5.753939151763916,7.841759204864502,336"
337,"-0.36758583784103394,5.753939151763916,7.841759204864502,337"
338,"-0.36758583784103394,5.753939151763916,7.841759204864502,338"
339,"-0.36758583784103394,5.753939151763916,7.841759204864502,339"
340,"-0.36758583784103394,5.753939151763916,7.841759204864502,340"
341,"-0.36758583784103394,5.753939151763916,7.841759204864502,341"
342,"-0.36758583784103394,5.753939151763916,7.841759204864502,342"
343,"-0.36758583784103394,5.753939151763916,7.841759204864502,343"
344,"-0.36758583784103394,5.753939151763916,7.841759204864502,344"
345,"-0.36758583784103394,5.753939151763916,7.841759204864502,345"
346,"-0.36758583784103394,5.753939151763916,7.841759204864502,346"
347,"-0.36758583784103394,5.753939151763916,7.841759204864502,347"
348,"-0.36758583784103394,5.753939151763916,7.841759204864502,348"
349,"-0.36758583784103394,5.753939151763916,7.841759204864502,349"
350,"-0.36758583784103394,5.753939151763916,7.841759204864502,350"
351,"-0.36758583784103394,5.753939151763916,7.841759204864502,351"
352,"-0.36758583784103394,5.753939151763916,7.841759204864502,352"
353,"-0.36758583784103394,5.753939151763916,7.841759204864502,353"
354,"-0.36758583784103394,5.753939151763916,7.841759204864502,354"
355,"-0.36758583784103394,5.753939151763916,7.841759204864502,355"
356,"-0.36758583784103394,5.753939151763916,7.841759204864502,356"
357,"-0.36758583784103394,5.753939151763916,7.841759204864502,357"
358,"-0.36758583784103394,5.753939151763916,7.841759204864502,358"
359,"-0.36758583784103394,5.753939151763916,7.841759204864502,359"
360,"-0.36758583784103394,5.753939151763916,7.841759204864502,360"
361,"-0.36758583784103394,5.753939151763916,7.841759204864502,361"
362,"-0.36758583784103394,5.753939151763916,7.841759204864502,362"
363,"-0.36758583784103394,5.753939151763916,7.841759204864502,363"
364,"-0.36758583784103394,5.753939151763916,7.841759204864502,364"
365,"-0.36758583784103394,5.753939151763916,7.841759204864502,365"
366,"-0.36758583784103394,5.753939151763916,7.841759204864502,366"
367,"-0.36758583784103394,5.753939151763916,7.841759204864502,367"
368,"-0.36758583784103394,5.753939151763916,7.841759204864502,368"
369,"-0.36758583784103394,5.753939151763916,7.841759204864502,369"
370,"-0.36758583784103394,5.753939151763916,7.841759204864502,370"
371,"-0.36758583784103394,5.753939151763916,7.841759204864502,371"
372,"-0.36758583784103394,5.753939151763916,7.841759204864502,372"
373,"-0.36758583784103394,5.753939151763916,7.841759204864502,373"
374,"-0.36758583784103394,5.753939151763916,7.841759204864502,374"
375,"-0.36758583784103394,5.753939151763916,7.841759204864502,375"
376,"-0.36758583784103394,5.753939151763916,7.841759204864502,376"
377,"-0.36758583784103394,5.753939151763916,7.841759204864502,377"
378,"-0.36758583784103394,5.753939151763916,7.841759204864502,378"
379,"-0.36758583784103394,5.753939151763916,7.841759204864502,379"
380,"-0.36758583784103394,5.753939151763916,7.841759204864502,380"
381,"-0.36758583784103394,5.753939151763916,7.841759204864502,381"
382,"-0.36758583784103394,5.753939151763916,7.841759204864502,382"
383,"-0.36758583784103394,5.753939151763916,7.841759204864502,383"
384,"-0.36758583784103394,5.753939151763916,7.841759204864502,384"
385,"-0.36758583784103394,5.753939151763916,7.841759204864502,385"
386,"-0.36758583784103394,5.753939151763916,7.841759204864502,386"
387,"-0.36758583784103394,5.753939151763916,7.841759204864502,387"
388,"-0.36758583784103394,5.753939151763916,7.841759204864502,388"
389,"-0.36758583784103394,5.753939151763916,7.841759204864502,389"
390,"-0.36758583784103394,5.753939151763916,7.841759204864502,390"
391,"-0.36758583784103394,5.753939151763916,7.841759204864502,391"
392,"-0.36758583784103394,5.753939151763916,7.841759204864502,392"
393,"-0.36758583784103394,5.753939151763916,7.841759204864502,393"
